window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,2.5,0.3,25,5,75.0,16
10,2.5,0.3,25,7,105.0,16
10,2.5,0.3,25,10,150.0,16
10,2.5,0.3,30,3,45.0,16
10,2.5,0.3,30,5,75.0,16
10,2.5,0.3,30,7,105.0,16
10,2.5,0.3,30,10,150.0,16
10,2.5,0.4,10,3,45.0,16
10,2.5,0.4,10,5,75.0,16
10,2.5,0.4,10,7,105.0,16
10,2.5,0.4,10,10,150.0,16
10,2.5,0.4,15,3,45.0,16
10,2.5,0.4,15,5,75.0,16
10,2.5,0.4,15,7,105.0,16
10,2.5,0.4,15,10,150.0,16
10,2.5,0.4,20,3,45.0,16
10,2.5,0.4,20,5,75.0,16
10,2.5,0.4,20,7,105.0,16
10,2.5,0.4,20,10,150.0,16
10,2.5,0.4,25,3,45.0,16
10,2.5,0.4,25,5,75.0,16
10,2.5,0.4,25,7,105.0,16
10,2.5,0.4,25,10,150.0,16
10,2.5,0.4,30,3,45.0,16
10,2.5,0.4,30,5,75.0,16
10,2.5,0.4,30,7,105.0,16
10,2.5,0.4,30,10,150.0,16
10,2.5,0.5,10,3,52.5,16
10,2.5,0.5,10,5,87.5,16
10,2.5,0.5,10,7,122.5,16
10,2.5,0.5,10,10,175.0,16
10,2.5,0.5,15,3,52.5,16
10,2.5,0.5,15,5,87.5,16
10,2.5,0.5,15,7,122.5,16
10,2.5,0.5,15,10,175.0,16
10,2.5,0.5,20,3,52.5,16
10,2.5,0.5,20,5,87.5,16
10,2.5,0.5,20,7,122.5,16
10,2.5,0.5,20,10,175.0,16
10,2.5,0.5,25,3,52.5,16
10,2.5,0.5,25,5,87.5,16
10,2.5,0.5,25,7,122.5,16
10,2.5,0.5,25,10,175.0,16
10,2.5,0.5,30,3,52.5,16
10,2.5,0.5,30,5,87.5,16
10,2.5,0.5,30,7,122.5,16
10,2.5,0.5,30,10,175.0,16
10,2.5,0.6,10,3,52.5,16
10,2.5,0.6,10,5,87.5,16
10,2.5,0.6,10,7,122.5,16
10,2.5,0.6,10,10,175.0,16
10,2.5,0.6,15,3,52.5,16
10,2.5,0.6,15,5,87.5,16
10,2.5,0.6,15,7,122.5,16
10,2.5,0.6,15,10,175.0,16
10,2.5,0.6,20,3,52.5,16
10,2.5,0.6,20,5,87.5,16
10,2.5,0.6,20,7,122.5,16
10,2.5,0.6,20,10,175.0,16
10,2.5,0.6,25,3,52.5,16
10,2.5,0.6,25,5,87.5,16
10,2.5,0.6,25,7,122.5,16
10,2.5,0.6,25,10,175.0,16
10,2.5,0.6,30,3,52.5,16
10,2.5,0.6,30,5,87.5,16
10,2.5,0.6,30,7,122.5,16
10,2.5,0.6,30,10,175.0,16
10,2.5,0.7,10,3,52.5,16
10,2.5,0.7,10,5,87.5,16
10,2.5,0.7,10,7,122.5,16
10,2.5,0.7,10,10,175.0,16
10,2.5,0.7,15,3,52.5,16
10,2.5,0.7,15,5,87.5,16
10,2.5,0.7,15,7,122.5,16
10,2.5,0.7,15,10,175.0,16
10,2.5,0.7,20,3,52.5,16
10,2.5,0.7,20,5,87.5,16
10,2.5,0.7,20,7,122.5,16
10,2.5,0.7,20,10,175.0,16
10,2.5,0.7,25,3,52.5,16
10,2.5,0.7,25,5,87.5,16
10,2.5,0.7,25,7,122.5,16
10,2.5,0.7,25,10,175.0,16
10,2.5,0.7,30,3,52.5,16
10,2.5,0.7,30,5,87.5,16
10,2.5,0.7,30,7,122.5,16
10,2.5,0.7,30,10,175.0,16
10,3.0,0.3,10,3,19.5,2
10,3.0,0.3,10,5,32.5,2
10,3.0,0.3,10,7,45.5,2
10,3.0,0.3,10,10,65.0,2
10,3.0,0.3,15,3,19.5,2
10,3.0,0.3,15,5,32.5,2
10,3.0,0.3,15,7,45.5,2
10,3.0,0.3,15,10,65.0,2
10,3.0,0.3,20,3,19.5,2
10,3.0,0.3,20,5,32.5,2
10,3.0,0.3,20,7,45.5,2
10,3.0,0.3,20,10,65.0,2
10,3.0,0.3,25,3,19.5,2
10,3.0,0.3,25,5,32.5,2
10,3.0,0.3,25,7,45.5,2
10,3.0,0.3,25,10,65.0,2
10,3.0,0.3,30,3,19.5,2
10,3.0,0.3,30,5,32.5,2
10,3.0,0.3,30,7,45.5,2
10,3.0,0.3,30,10,65.0,2
10,3.0,0.4,10,3,19.5,2
10,3.0,0.4,10,5,32.5,2
10,3.0,0.4,10,7,45.5,2
10,3.0,0.4,10,10,65.0,2
10,3.0,0.4,15,3,19.5,2
10,3.0,0.4,15,5,32.5,2
10,3.0,0.4,15,7,45.5,2
10,3.0,0.4,15,10,65.0,2
10,3.0,0.4,20,3,19.5,2
10,3.0,0.4,20,5,32.5,2
10,3.0,0.4,20,7,45.5,2
10,3.0,0.4,20,10,65.0,2
10,3.0,0.4,25,3,19.5,2
10,3.0,0.4,25,5,32.5,2
10,3.0,0.4,25,7,45.5,2
10,3.0,0.4,25,10,65.0,2
10,3.0,0.4,30,3,19.5,2
10,3.0,0.4,30,5,32.5,2
10,3.0,0.4,30,7,45.5,2
10,3.0,0.4,30,10,65.0,2
10,3.0,0.5,10,3,19.5,2
10,3.0,0.5,10,5,32.5,2
10,3.0,0.5,10,7,45.5,2
10,3.0,0.5,10,10,65.0,2
10,3.0,0.5,15,3,19.5,2
10,3.0,0.5,15,5,32.5,2
10,3.0,0.5,15,7,45.5,2
10,3.0,0.5,15,10,65.0,2
10,3.0,0.5,20,3,19.5,2
10,3.0,0.5,20,5,32.5,2
10,3.0,0.5,20,7,45.5,2
10,3.0,0.5,20,10,65.0,2
10,3.0,0.5,25,3,19.5,2
10,3.0,0.5,25,5,32.5,2
10,3.0,0.5,25,7,45.5,2
10,3.0,0.5,25,10,65.0,2
10,3.0,0.5,30,3,19.5,2
10,3.0,0.5,30,5,32.5,2
10,3.0,0.5,30,7,45.5,2
10,3.0,0.5,30,10,65.0,2
10,3.0,0.6,10,3,19.5,2
10,3.0,0.6,10,5,32.5,2
10,3.0,0.6,10,7,45.5,2
10,3.0,0.6,10,10,65.0,2
10,3.0,0.6,15,3,19.5,2
10,3.0,0.6,15,5,32.5,2
10,3.0,0.6,15,7,45.5,2
10,3.0,0.6,15,10,65.0,2
10,3.0,0.6,20,3,19.5,2
10,3.0,0.6,20,5,32.5,2
10,3.0,0.6,20,7,45.5,2
10,3.0,0.6,20,10,65.0,2
10,3.0,0.6,25,3,19.5,2
10,3.0,0.6,25,5,32.5,2
10,3.0,0.6,25,7,45.5,2
10,3.0,0.6,25,10,65.0,2
10,3.0,0.6,30,3,19.5,2
