window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,2.0,0.5,15,7,70966.0,6942
10,2.0,0.5,15,10,101380.0,6942
10,2.0,0.5,20,3,30414.0,6942
10,2.0,0.5,20,5,50690.0,6942
10,2.0,0.5,20,7,70966.0,6942
10,2.0,0.5,20,10,101380.0,6942
10,2.0,0.5,25,3,30414.0,6942
10,2.0,0.5,25,5,50690.0,6942
10,2.0,0.5,25,7,70966.0,6942
10,2.0,0.5,25,10,101380.0,6942
10,2.0,0.5,30,3,30414.0,6942
10,2.0,0.5,30,5,50690.0,6942
10,2.0,0.5,30,7,70966.0,6942
10,2.0,0.5,30,10,101380.0,6942
10,2.0,0.6,10,3,32385.0,7398
10,2.0,0.6,10,5,53975.0,7398
10,2.0,0.6,10,7,75565.0,7398
10,2.0,0.6,10,10,107950.0,7398
10,2.0,0.6,15,3,32385.0,7398
10,2.0,0.6,15,5,53975.0,7398
10,2.0,0.6,15,7,75565.0,7398
10,2.0,0.6,15,10,107950.0,7398
10,2.0,0.6,20,3,32385.0,7398
10,2.0,0.6,20,5,53975.0,7398
10,2.0,0.6,20,7,75565.0,7398
10,2.0,0.6,20,10,107950.0,7398
10,2.0,0.6,25,3,32385.0,7398
10,2.0,0.6,25,5,53975.0,7398
10,2.0,0.6,25,7,75565.0,7398
10,2.0,0.6,25,10,107950.0,7398
10,2.0,0.6,30,3,32385.0,7398
10,2.0,0.6,30,5,53975.0,7398
10,2.0,0.6,30,7,75565.0,7398
10,2.0,0.6,30,10,107950.0,7398
10,2.0,0.7,10,3,34029.0,7760
10,2.0,0.7,10,5,56715.0,7760
10,2.0,0.7,10,7,79401.0,7760
10,2.0,0.7,10,10,113430.0,7760
10,2.0,0.7,15,3,34029.0,7760
10,2.0,0.7,15,5,56715.0,7760
10,2.0,0.7,15,7,79401.0,7760
10,2.0,0.7,15,10,113430.0,7760
10,2.0,0.7,20,3,34029.0,7760
10,2.0,0.7,20,5,56715.0,7760
10,2.0,0.7,20,7,79401.0,7760
10,2.0,0.7,20,10,113430.0,7760
10,2.0,0.7,25,3,34029.0,7760
10,2.0,0.7,25,5,56715.0,7760
10,2.0,0.7,25,7,79401.0,7760
10,2.0,0.7,25,10,113430.0,7760
10,2.0,0.7,30,3,34029.0,7760
10,2.0,0.7,30,5,56715.0,7760
10,2.0,0.7,30,7,79401.0,7760
10,2.0,0.7,30,10,113430.0,7760
10,2.5,0.3,10,3,23029.5,4946
10,2.5,0.3,10,5,38382.5,4946
10,2.5,0.3,10,7,53735.5,4946
10,2.5,0.3,10,10,76765.0,4946
10,2.5,0.3,15,3,23029.5,4946
10,2.5,0.3,15,5,38382.5,4946
10,2.5,0.3,15,7,53735.5,4946
10,2.5,0.3,15,10,76765.0,4946
10,2.5,0.3,20,3,23029.5,4946
10,2.5,0.3,20,5,38382.5,4946
10,2.5,0.3,20,7,53735.5,4946
10,2.5,0.3,20,10,76765.0,4946
10,2.5,0.3,25,3,23029.5,4946
10,2.5,0.3,25,5,38382.5,4946
10,2.5,0.3,25,7,53735.5,4946
10,2.5,0.3,25,10,76765.0,4946
10,2.5,0.3,30,3,23029.5,4946
10,2.5,0.3,30,5,38382.5,4946
10,2.5,0.3,30,7,53735.5,4946
10,2.5,0.3,30,10,76765.0,4946
10,2.5,0.4,10,3,25474.5,5486
10,2.5,0.4,10,5,42457.5,5486
10,2.5,0.4,10,7,59440.5,5486
10,2.5,0.4,10,10,84915.0,5486
10,2.5,0.4,15,3,25474.5,5486
