imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.2,4.0,2.0,30,3,-73.5,316
0.2,4.0,2.0,30,5,-122.5,316
0.2,4.0,2.0,30,7,-171.5,316
0.2,4.0,2.0,30,10,-245.0,316
0.2,4.0,2.5,10,3,-85.5,312
0.2,4.0,2.5,10,5,-142.5,312
0.2,4.0,2.5,10,7,-199.5,312
0.2,4.0,2.5,10,10,-285.0,312
0.2,4.0,2.5,15,3,-85.5,312
0.2,4.0,2.5,15,5,-142.5,312
0.2,4.0,2.5,15,7,-199.5,312
0.2,4.0,2.5,15,10,-285.0,312
0.2,4.0,2.5,20,3,-85.5,312
0.2,4.0,2.5,20,5,-142.5,312
0.2,4.0,2.5,20,7,-199.5,312
0.2,4.0,2.5,20,10,-285.0,312
0.2,4.0,2.5,25,3,-85.5,312
0.2,4.0,2.5,25,5,-142.5,312
0.2,4.0,2.5,25,7,-199.5,312
0.2,4.0,2.5,25,10,-285.0,312
0.2,4.0,2.5,30,3,-85.5,312
0.2,4.0,2.5,30,5,-142.5,312
0.2,4.0,2.5,30,7,-199.5,312
0.2,4.0,2.5,30,10,-285.0,312
0.2,5.0,0.5,10,3,96.0,318
0.2,5.0,0.5,10,5,160.0,318
0.2,5.0,0.5,10,7,224.0,318
0.2,5.0,0.5,10,10,320.0,318
0.2,5.0,0.5,15,3,96.0,318
0.2,5.0,0.5,15,5,160.0,318
0.2,5.0,0.5,15,7,224.0,318
0.2,5.0,0.5,15,10,320.0,318
0.2,5.0,0.5,20,3,96.0,318
0.2,5.0,0.5,20,5,160.0,318
0.2,5.0,0.5,20,7,224.0,318
0.2,5.0,0.5,20,10,320.0,318
0.2,5.0,0.5,25,3,96.0,318
0.2,5.0,0.5,25,5,160.0,318
0.2,5.0,0.5,25,7,224.0,318
0.2,5.0,0.5,25,10,320.0,318
0.2,5.0,0.5,30,3,96.0,318
0.2,5.0,0.5,30,5,160.0,318
0.2,5.0,0.5,30,7,224.0,318
0.2,5.0,0.5,30,10,320.0,318
0.2,5.0,1.0,10,3,108.0,316
0.2,5.0,1.0,10,5,180.0,316
0.2,5.0,1.0,10,7,252.0,316
0.2,5.0,1.0,10,10,360.0,316
0.2,5.0,1.0,15,3,108.0,316
0.2,5.0,1.0,15,5,180.0,316
0.2,5.0,1.0,15,7,252.0,316
0.2,5.0,1.0,15,10,360.0,316
0.2,5.0,1.0,20,3,108.0,316
0.2,5.0,1.0,20,5,180.0,316
0.2,5.0,1.0,20,7,252.0,316
0.2,5.0,1.0,20,10,360.0,316
0.2,5.0,1.0,25,3,108.0,316
0.2,5.0,1.0,25,5,180.0,316
0.2,5.0,1.0,25,7,252.0,316
0.2,5.0,1.0,25,10,360.0,316
0.2,5.0,1.0,30,3,108.0,316
0.2,5.0,1.0,30,5,180.0,316
0.2,5.0,1.0,30,7,252.0,316
0.2,5.0,1.0,30,10,360.0,316
0.2,5.0,1.5,10,3,42.0,314
0.2,5.0,1.5,10,5,70.0,314
0.2,5.0,1.5,10,7,98.0,314
0.2,5.0,1.5,10,10,140.0,314
0.2,5.0,1.5,15,3,42.0,314
0.2,5.0,1.5,15,5,70.0,314
0.2,5.0,1.5,15,7,98.0,314
0.2,5.0,1.5,15,10,140.0,314
0.2,5.0,1.5,20,3,42.0,314
0.2,5.0,1.5,20,5,70.0,314
0.2,5.0,1.5,20,7,98.0,314
0.2,5.0,1.5,20,10,140.0,314
0.2,5.0,1.5,25,3,42.0,314
0.2,5.0,1.5,25,5,70.0,314
0.2,5.0,1.5,25,7,98.0,314
0.2,5.0,1.5,25,10,140.0,314
0.2,5.0,1.5,30,3,42.0,314
0.2,5.0,1.5,30,5,70.0,314
0.2,5.0,1.5,30,7,98.0,314
0.2,5.0,1.5,30,10,140.0,314
0.2,5.0,2.0,10,3,7.5,314
0.2,5.0,2.0,10,5,12.5,314
0.2,5.0,2.0,10,7,17.5,314
0.2,5.0,2.0,10,10,25.0,314
0.2,5.0,2.0,15,3,7.5,314
0.2,5.0,2.0,15,5,12.5,314
0.2,5.0,2.0,15,7,17.5,314
0.2,5.0,2.0,15,10,25.0,314
0.2,5.0,2.0,20,3,7.5,314
0.2,5.0,2.0,20,5,12.5,314
0.2,5.0,2.0,20,7,17.5,314
0.2,5.0,2.0,20,10,25.0,314
0.2,5.0,2.0,25,3,7.5,314
0.2,5.0,2.0,25,5,12.5,314
0.2,5.0,2.0,25,7,17.5,314
0.2,5.0,2.0,25,10,25.0,314
0.2,5.0,2.0,30,3,7.5,314
0.2,5.0,2.0,30,5,12.5,314
0.2,5.0,2.0,30,7,17.5,314
0.2,5.0,2.0,30,10,25.0,314
0.2,5.0,2.5,10,3,18.0,310
0.2,5.0,2.5,10,5,30.0,310
0.2,5.0,2.5,10,7,42.0,310
0.2,5.0,2.5,10,10,60.0,310
0.2,5.0,2.5,15,3,18.0,310
0.2,5.0,2.5,15,5,30.0,310
0.2,5.0,2.5,15,7,42.0,310
0.2,5.0,2.5,15,10,60.0,310
0.2,5.0,2.5,20,3,18.0,310
0.2,5.0,2.5,20,5,30.0,310
0.2,5.0,2.5,20,7,42.0,310
0.2,5.0,2.5,20,10,60.0,310
0.2,5.0,2.5,25,3,18.0,310
0.2,5.0,2.5,25,5,30.0,310
0.2,5.0,2.5,25,7,42.0,310
0.2,5.0,2.5,25,10,60.0,310
0.2,5.0,2.5,30,3,18.0,310
0.2,5.0,2.5,30,5,30.0,310
0.2,5.0,2.5,30,7,42.0,310
0.2,5.0,2.5,30,10,60.0,310
0.3,1.0,0.5,10,3,150.0,90
0.3,1.0,0.5,10,5,250.0,90
0.3,1.0,0.5,10,7,350.0,90
0.3,1.0,0.5,10,10,500.0,90
0.3,1.0,0.5,15,3,150.0,90
0.3,1.0,0.5,15,5,250.0,90
0.3,1.0,0.5,15,7,350.0,90
0.3,1.0,0.5,15,10,500.0,90
0.3,1.0,0.5,20,3,150.0,90
0.3,1.0,0.5,20,5,250.0,90
0.3,1.0,0.5,20,7,350.0,90
0.3,1.0,0.5,20,10,500.0,90
0.3,1.0,0.5,25,3,150.0,90
